0;0;160;160;160
0;1;160;160;160
0;2;160;160;160
0;3;160;160;160
0;4;160;160;160
0;5;160;160;160
0;6;160;160;160
0;7;160;160;160
0;8;160;160;160
0;9;160;160;160
0;10;160;160;160
0;11;160;160;160
0;12;160;160;160
0;13;160;160;160
0;14;160;160;160
0;15;160;160;160
0;16;160;160;160
0;17;160;160;160
0;18;160;160;160
0;19;160;160;160
0;20;160;160;160
0;21;160;160;160
0;22;160;160;160
0;23;160;160;160
0;24;160;160;160
0;25;160;160;160
0;26;160;160;160
0;27;160;160;160
0;28;160;160;160
0;29;160;160;160
1;0;160;160;160
1;1;160;160;160
1;2;160;160;160
1;3;160;160;160
1;4;160;160;160
1;5;160;160;160
1;6;160;160;160
1;7;160;160;160
1;8;160;160;160
1;9;160;160;160
1;10;160;160;160
1;11;160;160;160
1;12;160;160;160
1;13;160;160;160
1;14;160;160;160
1;15;160;160;160
1;16;160;160;160
1;17;160;160;160
1;18;160;160;160
1;19;160;160;160
1;20;160;160;160
1;21;160;160;160
1;22;160;160;160
1;23;160;160;160
1;24;160;160;160
1;25;160;160;160
1;26;160;160;160
1;27;160;160;160
1;28;160;160;160
1;29;160;160;160
2;0;160;160;160
2;1;160;160;160
2;2;160;160;160
2;3;160;160;160
2;4;160;160;160
2;5;160;160;160
2;6;160;160;160
2;7;160;160;160
2;8;160;160;160
2;9;160;160;160
2;10;160;160;160
2;11;160;160;160
2;12;160;160;160
2;13;160;160;160
2;14;160;160;160
2;15;160;160;160
2;16;160;160;160
2;17;160;160;160
2;18;160;160;160
2;19;160;160;160
2;20;160;160;160
2;21;160;160;160
2;22;160;160;160
2;23;160;160;160
2;24;160;160;160
2;25;160;160;160
2;26;160;160;160
2;27;160;160;160
2;28;160;160;160
2;29;160;160;160
3;0;160;160;160
3;1;160;160;160
3;2;160;160;160
3;3;160;160;160
3;4;160;160;160
3;5;160;160;160
3;6;160;160;160
3;7;160;160;160
3;8;160;160;160
3;9;160;160;160
3;10;160;160;160
3;11;160;160;160
3;12;160;160;160
3;13;160;160;160
3;14;160;160;160
3;15;160;160;160
3;16;160;160;160
3;17;160;160;160
3;18;160;160;160
3;19;160;160;160
3;20;160;160;160
3;21;160;160;160
3;22;160;160;160
3;23;160;160;160
3;24;160;160;160
3;25;160;160;160
3;26;160;160;160
3;27;160;160;160
3;28;160;160;160
3;29;160;160;160
4;0;160;160;160
4;1;160;160;160
4;2;160;160;160
4;3;160;160;160
4;4;160;160;160
4;5;160;160;160
4;6;160;160;160
4;7;160;160;160
4;8;160;160;160
4;9;160;160;160
4;10;160;160;160
4;11;160;160;160
4;12;160;160;160
4;13;160;160;160
4;14;160;160;160
4;15;160;160;160
4;16;160;160;160
4;17;160;160;160
4;18;160;160;160
4;19;160;160;160
4;20;160;160;160
4;21;160;160;160
4;22;160;160;160
4;23;160;160;160
4;24;160;160;160
4;25;160;160;160
4;26;160;160;160
4;27;160;160;160
4;28;160;160;160
4;29;160;160;160
5;0;160;160;160
5;1;160;160;160
5;2;160;160;160
5;3;160;160;160
5;4;160;160;160
